"date","tmean","tmax","tmin"
"2020-04-26",13.2,20.7,5
"2020-04-27",17.1,24.1,9.5
"2020-04-28",15.4,19.1,12.4
"2020-04-29",13.4,17.7,10.2
"2020-04-30",12.9,15.3,10.6
"2020-05-01",11.9,13.4,10.1
"2020-05-02",9.3,12.1,2.8
"2020-05-03",11.6,19.2,1.8
"2020-05-04",15.9,23,8
"2020-05-05",11.5,14.1,9.6
"2020-05-06",12.7,19.3,5.9
"2020-05-07",13.7,22.9,2.6
"2020-05-08",18.2,27.4,7
"2020-05-09",19.4,26.6,11.2
"2020-05-10",20.6,26.1,14
"2020-05-11",8.8,17.5,4.1
"2020-05-12",8.6,15.1,1.4
"2020-05-13",8.3,10.1,5.7
"2020-05-14",10.6,13.4,8
"2020-05-15",12,16.6,5.4
"2020-05-16",12.5,19.9,2.8
"2020-05-17",13.7,21.2,5.4
"2020-05-18",16,23.8,6.4
"2020-05-19",18.7,25.3,9.1
"2020-05-20",18.4,25.3,9.9
"2020-05-21",19,26.7,9.9
"2020-05-22",21,28.5,10.7
"2020-05-23",14.3,21.7,9.4
"2020-05-24",13.9,19.3,7.4
"2020-05-25",14.1,20.8,6.2
"2020-05-26",15.5,21.8,6.9
"2020-05-27",16.7,23.9,6.7
"2020-05-28",16.8,23.1,7.9
"2020-05-29",17.7,22.9,9.8
"2020-05-30",15.7,22.1,7.1
"2020-05-31",16.1,23.3,5.9
"2020-06-01",20.4,28.1,12.8
"2020-06-02",20.1,27.6,9.6
"2020-06-03",18.9,26.8,12.1
"2020-06-04",16.5,20.2,12.1
"2020-06-05",13.6,15.7,11.5
"2020-06-06",14.4,18,12.4
"2020-06-07",14.1,18.8,10.2
"2020-06-08",14,18.2,8.8
"2020-06-09",13,15,10.9
"2020-06-10",14.7,17.9,12.5
"2020-06-11",16.8,21.7,12.8
"2020-06-12",19.9,28.8,10.6
"2020-06-13",17.6,24.6,12.4
"2020-06-14",16.2,18.7,12.3
"2020-06-15",17.1,23,10.6
"2020-06-16",18,23.2,13.2
"2020-06-17",14.8,17.1,12
"2020-06-18",17.1,23,9
"2020-06-19",16.7,21.8,11.5
"2020-06-20",17.7,22.9,12.5
"2020-06-21",19.7,25.4,11.7
"2020-06-22",20.3,24.9,14
"2020-06-23",20.9,27.8,12.1
"2020-06-24",24,29.8,15.1
"2020-06-25",22.8,29.5,13.4
"2020-06-26",21.6,28.8,17
"2020-06-27",23.4,28.7,15.3
"2020-06-28",21.2,26.6,15.4
"2020-06-29",18.2,22.6,14.7
"2020-06-30",20.2,25.7,14.4
"2020-07-01",23.2,30.2,13.9
"2020-07-02",20.5,23.8,16.8
"2020-07-03",19.2,23.9,12.3
"2020-07-04",20.4,26.3,10.5
"2020-07-05",24.2,28.3,20.9
"2020-07-06",18.8,23.1,9.7
"2020-07-07",16.8,23.9,7.8
"2020-07-08",20.3,28.6,9.4
"2020-07-09",23.9,31.8,13.5
"2020-07-10",23.6,30,15.4
"2020-07-11",18.9,24.2,11.5
"2020-07-12",19.7,27.4,9.3
"2020-07-13",20.6,27.2,10.9
"2020-07-14",21.1,28.3,10.8
"2020-07-15",17.1,21.2,15.1
"2020-07-16",16.4,18,15.1
"2020-07-17",17.6,22.6,14.1
"2020-07-18",19.4,27.4,10.7
"2020-07-19",20.9,29.2,10.8
"2020-07-20",23.2,32.1,12.9
"2020-07-21",21.6,28.3,15.1
"2020-07-22",21.3,29.2,14
"2020-07-23",20.9,28.8,13.1
"2020-07-24",20.5,28,15.2
"2020-07-25",22.9,29.9,13.2
"2020-07-26",21.2,27,15.2
"2020-07-27",24.3,32.9,12.7
"2020-07-28",24.9,30.2,18
"2020-07-29",21.6,28.4,13.5
"2020-07-30",22.9,32.8,11.6
"2020-07-31",25.3,35.6,15
"2020-08-01",26.9,34.6,19.3
"2020-08-02",20.4,23.9,17.4
"2020-08-03",17.8,24.1,14.9
"2020-08-04",17.3,22.2,11.8
"2020-08-05",19.8,28.1,9.5
"2020-08-06",21.6,29.4,12.3
"2020-08-07",24,32.5,15.3
"2020-08-08",25,34,16.8
"2020-08-09",26.4,35.5,16.7
"2020-08-10",24.4,34.5,16.7
"2020-08-11",26.4,34.5,18
"2020-08-12",26,33.7,18.3
"2020-08-13",25.3,31.6,19.6
"2020-08-14",22.2,26.7,17.4
"2020-08-15",23.1,30.7,15.9
"2020-08-16",23.8,32,15.2
"2020-08-17",21.5,27.3,16.5
"2020-08-18",21,26.9,15.2
"2020-08-19",22.2,28.4,13.5
"2020-08-20",26.8,34.9,18.6
"2020-08-21",26.8,35.1,17.8
"2020-08-22",22.9,27.4,16.6
"2020-08-23",20.2,25.7,14.9
"2020-08-24",19.2,24.9,12.9
"2020-08-25",20.5,27.2,10.2
"2020-08-26",22.9,26.5,14.7
"2020-08-27",19.3,26.1,10.1
"2020-08-28",18.9,23.3,15.4
"2020-08-29",17.2,19.2,13.9
"2020-08-30",14.1,14.8,12
"2020-08-31",15.2,20.2,10.3
"2020-09-01",15.6,20.4,13
"2020-09-02",16,22,10.7
"2020-09-03",17.5,24.4,8.6
"2020-09-04",20.5,29.7,11.1
"2020-09-05",21,28,14.5
"2020-09-06",16,20,9.8
"2020-09-07",15.5,23.5,8.2
"2020-09-08",16.3,25.2,7.7
"2020-09-09",18.1,27.5,9.6
"2020-09-10",18.6,25.7,11.1
"2020-09-11",19.9,26.9,13.1
"2020-09-12",20.2,28.5,12.9
"2020-09-13",20.2,28.8,11
"2020-09-14",20.6,31,12
"2020-09-15",22,32,13.3
"2020-09-16",21.8,31.6,14.7
"2020-09-17",19.9,26.8,14.7
"2020-09-18",19.1,26.5,11.8
"2020-09-19",18.8,26.3,11.3
"2020-09-20",18.2,25.5,12.5
"2020-09-21",19.2,27.2,10.3
"2020-09-22",19.9,26.9,12.6
"2020-09-23",19.7,23.6,14.9
"2020-09-24",18.8,23.1,15.1
"2020-09-25",11.6,16.1,9
"2020-09-26",8.8,9.3,8.4
"2020-09-27",9.5,13.2,4.7
"2020-09-28",10.5,16.5,3.1
"2020-09-29",12.3,14.8,9
"2020-09-30",12.4,19.9,6.3
