"date","hour","tmean"
"20190901","00","  21.4"
"20190901","01","  21.9"
"20190901","02","  20.7"
"20190901","03","  20.8"
"20190901","04","  21.2"
"20190901","05","  20.3"
"20190901","06","  20.8"
"20190901","07","  21.3"
"20190901","08","  22.2"
"20190901","09","  21.7"
"20190901","10","  22.5"
"20190901","11","  24.0"
"20190901","12","  23.1"
"20190901","13","  23.6"
"20190901","14","  23.5"
"20190901","15","  22.7"
"20190901","16","  23.1"
"20190901","17","  22.1"
"20190901","18","  20.6"
"20190901","19","  20.0"
"20190901","20","  19.7"
"20190901","21","  19.4"
"20190901","22","  19.0"
"20190901","23","  18.8"
"20190902","00","  18.2"
"20190902","01","  17.4"
"20190902","02","  17.3"
"20190902","03","  17.0"
"20190902","04","  16.1"
"20190902","05","  15.3"
"20190902","06","  15.3"
"20190902","07","  16.2"
"20190902","08","  16.6"
"20190902","09","  17.3"
"20190902","10","  19.1"
"20190902","11","  19.7"
"20190902","12","  20.6"
"20190902","13","  20.6"
"20190902","14","  21.8"
"20190902","15","  22.0"
"20190902","16","  21.6"
"20190902","17","  21.2"
"20190902","18","  19.6"
"20190902","19","  16.1"
"20190902","20","  13.7"
"20190902","21","  13.0"
"20190902","22","  12.7"
"20190902","23","  11.6"
"20190903","00","  11.0"
"20190903","01","   9.5"
"20190903","02","   9.8"
"20190903","03","   9.2"
"20190903","04","   9.2"
"20190903","05","   9.2"
"20190903","06","  10.1"
"20190903","07","  14.4"
"20190903","08","  16.2"
"20190903","09","  17.6"
"20190903","10","  20.2"
"20190903","11","  21.4"
"20190903","12","  22.2"
"20190903","13","  22.8"
"20190903","14","  23.4"
"20190903","15","  24.1"
"20190903","16","  23.9"
"20190903","17","  22.0"
"20190903","18","  19.7"
"20190903","19","  17.3"
"20190903","20","  14.3"
"20190903","21","  13.4"
"20190903","22","  12.3"
"20190903","23","  11.3"
"20190904","00","  10.9"
"20190904","01","  10.0"
"20190904","02","  10.0"
"20190904","03","   9.4"
"20190904","04","   9.2"
"20190904","05","   8.7"
"20190904","06","   9.4"
"20190904","07","  13.8"
"20190904","08","  17.2"
"20190904","09","  19.6"
"20190904","10","  21.0"
"20190904","11","  23.0"
"20190904","12","  24.3"
"20190904","13","  25.3"
"20190904","14","  25.8"
"20190904","15","  26.5"
"20190904","16","  25.9"
"20190904","17","  25.8"
"20190904","18","  24.1"
"20190904","19","  22.0"
"20190904","20","  21.3"
"20190904","21","  20.0"
"20190904","22","  17.6"
"20190904","23","  16.1"
"20190905","00","  14.3"
"20190905","01","  14.2"
"20190905","02","  14.1"
"20190905","03","  14.1"
"20190905","04","  13.7"
"20190905","05","  14.3"
"20190905","06","  13.9"
"20190905","07","  13.9"
"20190905","08","  14.0"
"20190905","09","  14.3"
"20190905","10","  15.1"
"20190905","11","  16.0"
"20190905","12","  16.8"
"20190905","13","  17.1"
"20190905","14","  17.5"
"20190905","15","  17.7"
"20190905","16","  17.5"
"20190905","17","  17.2"
"20190905","18","  15.2"
"20190905","19","  14.1"
"20190905","20","  12.2"
"20190905","21","  11.4"
"20190905","22","  11.2"
"20190905","23","  10.7"
"20190906","00","  10.6"
"20190906","01","  10.1"
"20190906","02","   9.8"
"20190906","03","  11.0"
"20190906","04","  12.0"
"20190906","05","  11.6"
"20190906","06","  11.5"
"20190906","07","  11.6"
"20190906","08","  12.0"
"20190906","09","  14.0"
"20190906","10","  15.8"
"20190906","11","  16.6"
"20190906","12","  17.4"
"20190906","13","  19.2"
"20190906","14","  18.3"
"20190906","15","  18.4"
"20190906","16","  17.8"
"20190906","17","  17.6"
"20190906","18","  18.0"
"20190906","19","  17.0"
"20190906","20","  16.1"
"20190906","21","  13.6"
"20190906","22","  12.1"
"20190906","23","  11.2"
"20190907","00","  10.1"
"20190907","01","   9.6"
"20190907","02","   9.8"
"20190907","03","   8.8"
"20190907","04","   9.3"
"20190907","05","   9.7"
"20190907","06","  10.9"
"20190907","07","  13.2"
"20190907","08","  14.2"
"20190907","09","  15.2"
"20190907","10","  16.5"
"20190907","11","  17.5"
"20190907","12","  17.1"
"20190907","13","  18.6"
"20190907","14","  19.9"
"20190907","15","  19.0"
"20190907","16","  19.6"
"20190907","17","  16.3"
"20190907","18","  15.1"
"20190907","19","  12.9"
"20190907","20","  12.6"
"20190907","21","  12.5"
"20190907","22","  11.9"
"20190907","23","  11.8"
"20190908","00","  11.8"
"20190908","01","  11.7"
"20190908","02","  11.6"
"20190908","03","  11.3"
"20190908","04","  11.1"
"20190908","05","  11.3"
"20190908","06","  11.5"
"20190908","07","  11.7"
"20190908","08","  11.8"
"20190908","09","  12.0"
"20190908","10","  12.3"
"20190908","11","  12.3"
"20190908","12","  12.3"
"20190908","13","  12.6"
"20190908","14","  12.9"
"20190908","15","  12.4"
"20190908","16","  12.8"
"20190908","17","  12.2"
"20190908","18","  11.9"
"20190908","19","  11.4"
"20190908","20","  11.9"
"20190908","21","  11.8"
"20190908","22","  11.4"
"20190908","23","  11.8"
"20190909","00","  11.2"
"20190909","01","  11.5"
"20190909","02","  11.5"
"20190909","03","  11.4"
"20190909","04","  11.3"
"20190909","05","  11.0"
"20190909","06","  11.5"
"20190909","07","  11.2"
"20190909","08","  11.9"
"20190909","09","  12.7"
"20190909","10","  14.2"
"20190909","11","  15.5"
"20190909","12","  16.3"
"20190909","13","  16.7"
"20190909","14","  17.5"
"20190909","15","  17.5"
"20190909","16","  17.5"
"20190909","17","  15.0"
"20190909","18","  13.5"
"20190909","19","  13.1"
"20190909","20","  14.1"
"20190909","21","  11.2"
"20190909","22","   9.5"
"20190909","23","   8.8"
"20190910","00","   9.3"
"20190910","01","   9.7"
"20190910","02","   8.5"
"20190910","03","   7.2"
"20190910","04","   7.0"
"20190910","05","   8.4"
"20190910","06","   8.9"
"20190910","07","  10.6"
"20190910","08","  11.7"
"20190910","09","  14.5"
"20190910","10","  16.0"
"20190910","11","  17.3"
"20190910","12","  18.9"
"20190910","13","  19.4"
"20190910","14","  19.8"
"20190910","15","  20.2"
"20190910","16","  20.1"
"20190910","17","  19.0"
"20190910","18","  17.4"
"20190910","19","  15.8"
"20190910","20","  13.6"
"20190910","21","  13.2"
"20190910","22","  12.2"
"20190910","23","  12.3"
"20190911","00","  11.7"
"20190911","01","  10.3"
"20190911","02","  10.1"
"20190911","03","   8.8"
"20190911","04","   8.6"
"20190911","05","   8.1"
"20190911","06","   8.6"
"20190911","07","  12.5"
"20190911","08","  14.1"
"20190911","09","  16.0"
"20190911","10","  18.2"
"20190911","11","  19.9"
"20190911","12","  20.2"
"20190911","13","  20.4"
"20190911","14","  20.3"
"20190911","15","  20.1"
"20190911","16","  19.5"
"20190911","17","  19.3"
"20190911","18","  18.5"
"20190911","19","  17.0"
"20190911","20","  17.2"
"20190911","21","  14.9"
"20190911","22","  12.9"
"20190911","23","  12.0"
"20190912","00","  12.4"
"20190912","01","  13.4"
"20190912","02","  13.4"
"20190912","03","  10.9"
"20190912","04","   9.9"
"20190912","05","   9.9"
"20190912","06","  10.5"
"20190912","07","  13.8"
"20190912","08","  16.6"
"20190912","09","  19.6"
"20190912","10","  21.8"
"20190912","11","  22.5"
"20190912","12","  23.3"
"20190912","13","  24.5"
"20190912","14","  24.6"
"20190912","15","  25.0"
"20190912","16","  25.4"
"20190912","17","  24.1"
"20190912","18","  19.6"
"20190912","19","  19.8"
"20190912","20","  16.8"
"20190912","21","  14.9"
"20190912","22","  14.4"
"20190912","23","  14.0"
"20190913","00","  12.4"
"20190913","01","  12.1"
"20190913","02","  11.7"
"20190913","03","  11.3"
"20190913","04","  10.6"
"20190913","05","  10.4"
"20190913","06","  11.2"
"20190913","07","  15.3"
"20190913","08","  18.7"
"20190913","09","  19.9"
"20190913","10","  20.9"
"20190913","11","  22.2"
"20190913","12","  24.0"
"20190913","13","  24.1"
"20190913","14","  24.4"
"20190913","15","  24.4"
"20190913","16","  24.2"
"20190913","17","  22.9"
"20190913","18","  20.7"
"20190913","19","  18.7"
"20190913","20","  18.5"
"20190913","21","  16.8"
"20190913","22","  15.9"
"20190913","23","  15.1"
"20190914","00","  15.3"
"20190914","01","  13.9"
"20190914","02","  14.0"
"20190914","03","  13.8"
"20190914","04","  12.9"
"20190914","05","  13.8"
"20190914","06","  13.5"
"20190914","07","  14.2"
"20190914","08","  14.3"
"20190914","09","  15.8"
"20190914","10","  18.6"
"20190914","11","  21.3"
"20190914","12","  22.6"
"20190914","13","  22.8"
"20190914","14","  23.8"
"20190914","15","  24.4"
"20190914","16","  23.4"
"20190914","17","  23.1"
"20190914","18","  20.5"
"20190914","19","  19.9"
"20190914","20","  19.7"
"20190914","21","  19.1"
"20190914","22","  16.7"
"20190914","23","  15.5"
"20190915","00","  15.1"
"20190915","01","  14.4"
"20190915","02","  14.1"
"20190915","03","  13.1"
"20190915","04","  12.7"
"20190915","05","  12.8"
"20190915","06","  12.8"
"20190915","07","  16.1"
"20190915","08","  18.5"
"20190915","09","  20.6"
"20190915","10","  23.2"
"20190915","11","  24.8"
"20190915","12","  26.0"
"20190915","13","  27.4"
"20190915","14","  27.3"
"20190915","15","  28.1"
"20190915","16","  27.4"
"20190915","17","  27.1"
"20190915","18","  23.1"
"20190915","19","  20.8"
"20190915","20","  18.5"
"20190915","21","  18.3"
"20190915","22","  16.5"
"20190915","23","  17.1"
"20190916","00","  15.9"
"20190916","01","  16.4"
"20190916","02","  14.8"
"20190916","03","  14.6"
"20190916","04","  14.2"
"20190916","05","  13.8"
"20190916","06","  13.4"
"20190916","07","  17.4"
"20190916","08","  20.1"
"20190916","09","  22.5"
"20190916","10","  23.8"
"20190916","11","  24.9"
"20190916","12","  26.0"
"20190916","13","  26.9"
"20190916","14","  27.4"
"20190916","15","  27.5"
"20190916","16","  27.6"
"20190916","17","  24.6"
"20190916","18","  23.1"
"20190916","19","  20.6"
"20190916","20","  18.4"
"20190916","21","  17.9"
"20190916","22","  16.7"
"20190916","23","  16.4"
"20190917","00","  15.4"
"20190917","01","  13.8"
"20190917","02","  13.0"
"20190917","03","  12.8"
"20190917","04","  12.0"
"20190917","05","  11.2"
"20190917","06","  11.7"
"20190917","07","  14.7"
"20190917","08","  16.8"
"20190917","09","  18.6"
"20190917","10","  19.6"
"20190917","11","  20.5"
"20190917","12","  20.2"
"20190917","13","  20.0"
"20190917","14","  20.5"
"20190917","15","  20.3"
"20190917","16","  20.1"
"20190917","17","  19.2"
"20190917","18","  16.9"
"20190917","19","  16.4"
"20190917","20","  14.3"
"20190917","21","  11.7"
"20190917","22","  12.5"
"20190917","23","  10.7"
"20190918","00","  10.5"
"20190918","01","   9.7"
"20190918","02","   8.6"
"20190918","03","   8.1"
"20190918","04","   8.0"
"20190918","05","   8.5"
"20190918","06","   8.4"
"20190918","07","  10.1"
"20190918","08","  12.5"
"20190918","09","  15.7"
"20190918","10","  18.0"
"20190918","11","  18.6"
"20190918","12","  19.5"
"20190918","13","  19.7"
"20190918","14","  20.2"
"20190918","15","  20.4"
"20190918","16","  19.5"
"20190918","17","  18.1"
"20190918","18","  15.1"
"20190918","19","  13.6"
"20190918","20","  10.3"
"20190918","21","   9.5"
"20190918","22","   7.4"
"20190918","23","   7.5"
"20190919","00","   6.9"
"20190919","01","   6.9"
"20190919","02","   6.7"
"20190919","03","   6.6"
"20190919","04","   5.2"
"20190919","05","   4.3"
"20190919","06","   5.8"
"20190919","07","   7.5"
"20190919","08","  10.9"
"20190919","09","  13.7"
"20190919","10","  17.1"
"20190919","11","  18.0"
"20190919","12","  19.1"
"20190919","13","  19.0"
"20190919","14","  19.4"
"20190919","15","  19.3"
"20190919","16","  18.7"
"20190919","17","  17.5"
"20190919","18","  15.1"
"20190919","19","  13.6"
"20190919","20","  13.5"
"20190919","21","  10.1"
"20190919","22","   8.0"
"20190919","23","  12.5"
"20190920","00","  12.7"
"20190920","01","  12.7"
"20190920","02","  12.0"
"20190920","03","  12.0"
"20190920","04","   6.8"
"20190920","05","   5.6"
"20190920","06","   4.4"
"20190920","07","   7.4"
"20190920","08","  10.8"
"20190920","09","  12.1"
"20190920","10","  14.0"
"20190920","11","  16.4"
"20190920","12","  18.3"
"20190920","13","  19.6"
"20190920","14","  20.4"
"20190920","15","  20.5"
"20190920","16","  20.4"
"20190920","17","  18.9"
"20190920","18","  15.4"
"20190920","19","  15.8"
"20190920","20","  14.1"
"20190920","21","  15.9"
"20190920","22","  15.7"
"20190920","23","  14.9"
"20190921","00","   8.1"
"20190921","01","   7.3"
"20190921","02","   6.8"
"20190921","03","   5.2"
"20190921","04","   4.8"
"20190921","05","   5.4"
"20190921","06","   4.9"
"20190921","07","  10.3"
"20190921","08","  13.5"
"20190921","09","  15.3"
"20190921","10","  17.3"
"20190921","11","  19.5"
"20190921","12","  21.0"
"20190921","13","  22.7"
"20190921","14","  23.6"
"20190921","15","  23.4"
"20190921","16","  22.6"
"20190921","17","  20.7"
"20190921","18","  17.1"
"20190921","19","  14.8"
"20190921","20","  13.3"
"20190921","21","  12.3"
"20190921","22","  11.4"
"20190921","23","  11.4"
"20190922","00","  10.3"
"20190922","01","   9.9"
"20190922","02","   9.6"
"20190922","03","  10.8"
"20190922","04","  11.6"
"20190922","05","  11.6"
"20190922","06","  12.1"
"20190922","07","  13.7"
"20190922","08","  16.5"
"20190922","09","  17.6"
"20190922","10","  19.5"
"20190922","11","  21.7"
"20190922","12","  22.6"
"20190922","13","  24.6"
"20190922","14","  25.4"
"20190922","15","  26.0"
"20190922","16","  26.1"
"20190922","17","  22.7"
"20190922","18","  22.4"
"20190922","19","  20.2"
"20190922","20","  19.2"
"20190922","21","  17.7"
"20190922","22","  17.3"
"20190922","23","  15.8"
"20190923","00","  14.9"
"20190923","01","  14.8"
"20190923","02","  14.1"
"20190923","03","  13.8"
"20190923","04","  14.0"
"20190923","05","  14.4"
"20190923","06","  14.1"
"20190923","07","  14.4"
"20190923","08","  14.8"
"20190923","09","  14.8"
"20190923","10","  15.8"
"20190923","11","  16.8"
"20190923","12","  18.0"
"20190923","13","  18.7"
"20190923","14","  19.9"
"20190923","15","  19.3"
"20190923","16","  18.6"
"20190923","17","  18.1"
"20190923","18","  17.4"
"20190923","19","  16.0"
"20190923","20","  15.8"
"20190923","21","  14.5"
"20190923","22","  12.8"
"20190923","23","  11.5"
"20190924","00","  13.6"
"20190924","01","  10.2"
"20190924","02","   9.4"
"20190924","03","   8.7"
"20190924","04","   7.7"
"20190924","05","  10.1"
"20190924","06","   9.6"
"20190924","07","  11.6"
"20190924","08","  12.4"
"20190924","09","  12.9"
"20190924","10","  13.8"
"20190924","11","  15.5"
"20190924","12","  16.0"
"20190924","13","  16.4"
"20190924","14","  16.3"
"20190924","15","  16.6"
"20190924","16","  16.1"
"20190924","17","  15.3"
"20190924","18","  15.1"
"20190924","19","  15.7"
"20190924","20","  16.5"
"20190924","21","  17.0"
"20190924","22","  16.7"
"20190924","23","  16.9"
"20190925","00","  16.5"
"20190925","01","  16.3"
"20190925","02","  16.2"
"20190925","03","  15.2"
"20190925","04","  15.1"
"20190925","05","  15.3"
"20190925","06","  15.4"
"20190925","07","  14.4"
"20190925","08","  15.1"
"20190925","09","  16.2"
"20190925","10","  16.7"
"20190925","11","  17.0"
"20190925","12","  16.9"
"20190925","13","  17.7"
"20190925","14","  17.0"
"20190925","15","  17.2"
"20190925","16","  17.1"
"20190925","17","  16.0"
"20190925","18","  16.3"
"20190925","19","  16.4"
"20190925","20","  16.2"
"20190925","21","  16.0"
"20190925","22","  16.2"
"20190925","23","  15.8"
"20190926","00","  15.6"
"20190926","01","  15.8"
"20190926","02","  15.4"
"20190926","03","  15.7"
"20190926","04","  15.0"
"20190926","05","  15.3"
"20190926","06","  15.8"
"20190926","07","  15.7"
"20190926","08","  15.8"
"20190926","09","  16.3"
"20190926","10","  17.2"
"20190926","11","  18.0"
"20190926","12","  18.4"
"20190926","13","  19.0"
"20190926","14","  19.2"
"20190926","15","  18.9"
"20190926","16","  18.5"
"20190926","17","  18.5"
"20190926","18","  18.5"
"20190926","19","  18.6"
"20190926","20","  18.9"
"20190926","21","  18.8"
"20190926","22","  18.7"
"20190926","23","  18.9"
"20190927","00","  18.5"
"20190927","01","  18.3"
"20190927","02","  18.9"
"20190927","03","  18.3"
"20190927","04","  17.8"
"20190927","05","  17.8"
"20190927","06","  18.0"
"20190927","07","  17.9"
"20190927","08","  18.6"
"20190927","09","  18.9"
"20190927","10","  19.6"
"20190927","11","  19.8"
"20190927","12","  17.3"
"20190927","13","  17.2"
"20190927","14","  18.2"
"20190927","15","  18.6"
"20190927","16","  18.3"
"20190927","17","  17.6"
"20190927","18","  16.1"
"20190927","19","  15.8"
"20190927","20","  15.9"
"20190927","21","  15.7"
"20190927","22","  15.4"
"20190927","23","  15.7"
"20190928","00","  15.5"
"20190928","01","  15.5"
"20190928","02","  15.3"
"20190928","03","  15.0"
"20190928","04","  14.8"
"20190928","05","  14.7"
"20190928","06","  14.6"
"20190928","07","  15.0"
"20190928","08","  16.0"
"20190928","09","  16.8"
"20190928","10","  17.4"
"20190928","11","  18.3"
"20190928","12","  19.7"
"20190928","13","  18.9"
"20190928","14","  19.7"
"20190928","15","  19.1"
"20190928","16","  18.1"
"20190928","17","  17.6"
"20190928","18","  17.1"
"20190928","19","  16.8"
"20190928","20","  15.4"
"20190928","21","  14.0"
"20190928","22","  14.3"
"20190928","23","  14.4"
"20190929","00","  13.0"
"20190929","01","  12.1"
"20190929","02","  10.4"
"20190929","03","   9.9"
"20190929","04","   8.5"
"20190929","05","   7.9"
"20190929","06","   8.0"
"20190929","07","  15.2"
"20190929","08","  18.6"
"20190929","09","  19.3"
"20190929","10","  20.1"
"20190929","11","  20.3"
"20190929","12","  22.2"
"20190929","13","  22.2"
"20190929","14","  23.5"
"20190929","15","  23.6"
"20190929","16","  22.4"
"20190929","17","  18.0"
"20190929","18","  16.4"
"20190929","19","  19.3"
"20190929","20","  19.3"
"20190929","21","  20.0"
"20190929","22","  20.1"
"20190929","23","  19.6"
"20190930","00","  19.5"
"20190930","01","  19.3"
"20190930","02","  17.7"
"20190930","03","  16.8"
"20190930","04","  16.0"
"20190930","05","  14.9"
"20190930","06","  14.0"
"20190930","07","  14.3"
"20190930","08","  15.9"
"20190930","09","  16.0"
"20190930","10","  16.7"
"20190930","11","  17.0"
"20190930","12","  18.2"
"20190930","13","  18.1"
"20190930","14","  18.8"
"20190930","15","  18.7"
"20190930","16","  18.9"
"20190930","17","  17.5"
"20190930","18","  15.1"
"20190930","19","  14.5"
"20190930","20","  12.9"
"20190930","21","  11.8"
"20190930","22","  10.8"
"20190930","23","  13.6"
"20191001","00","  12.0"
"20191001","01","  11.4"
"20191001","02","   8.9"
"20191001","03","   8.7"
"20191001","04","   9.0"
"20191001","05","   9.1"
"20191001","06","   9.7"
"20191001","07","  17.6"
"20191001","08","  18.6"
"20191001","09","  19.2"
"20191001","10","  19.9"
"20191001","11","  20.2"
"20191001","12","  19.4"
"20191001","13","  20.9"
"20191001","14","  21.1"
"20191001","15","  21.2"
"20191001","16","  20.5"
"20191001","17","  19.4"
"20191001","18","  19.1"
"20191001","19","  18.7"
"20191001","20","  18.2"
"20191001","21","  17.0"
"20191001","22","  17.3"
"20191001","23","  17.0"
"20191002","00","  16.5"
"20191002","01","  16.1"
"20191002","02","  15.7"
"20191002","03","  15.3"
"20191002","04","  14.7"
"20191002","05","  14.3"
"20191002","06","  13.9"
"20191002","07","  13.9"
"20191002","08","  14.6"
"20191002","09","  14.5"
"20191002","10","  16.1"
"20191002","11","  15.7"
"20191002","12","  16.4"
"20191002","13","  15.0"
"20191002","14","  11.1"
"20191002","15","  10.4"
"20191002","16","  10.7"
"20191002","17","  10.4"
"20191002","18","   9.7"
"20191002","19","  10.2"
"20191002","20","   9.6"
"20191002","21","   8.9"
"20191002","22","   7.2"
"20191002","23","   7.9"
"20191003","00","   8.0"
"20191003","01","   8.6"
"20191003","02","   7.6"
"20191003","03","   7.2"
"20191003","04","   6.0"
"20191003","05","   5.9"
"20191003","06","   4.9"
"20191003","07","   6.1"
"20191003","08","   9.4"
"20191003","09","  10.1"
"20191003","10","  11.6"
"20191003","11","  12.1"
"20191003","12","  14.1"
"20191003","13","  13.6"
"20191003","14","  14.0"
"20191003","15","  14.3"
"20191003","16","  12.1"
"20191003","17","  10.0"
"20191003","18","   8.6"
"20191003","19","   8.6"
"20191003","20","   8.3"
"20191003","21","   7.9"
"20191003","22","   7.9"
"20191003","23","   7.4"
"20191004","00","   6.7"
"20191004","01","   7.6"
"20191004","02","   9.4"
"20191004","03","   8.1"
"20191004","04","   6.8"
"20191004","05","   8.3"
"20191004","06","  11.8"
"20191004","07","  12.4"
